Date;30.10.2025
Time;17.04.04
Sensor name:;TLE493D-P3I8

Comment:;0


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;-55.08;-277.63;24.95;-1625;-8190;736;20.46;2
2;-54.81;-277.63;24.95;-1617;-8190;736;20.53;2
3;-54.98;-277.63;24.95;-1622;-8190;736;20.26;2
4;-54.95;-277.63;24.95;-1621;-8190;736;20.72;2
5;-54.92;-277.63;24.88;-1620;-8190;734;20.39;2
6;-54.95;-277.63;24.81;-1621;-8190;732;20.53;2
7;-54.85;-277.63;24.88;-1618;-8190;734;20.39;2
8;-54.88;-277.63;24.85;-1619;-8190;733;20.39;2
9;-55.05;-277.63;24.95;-1624;-8190;736;20.33;2
10;-54.98;-277.63;24.95;-1622;-8190;736;20.53;2
11;-54.92;-277.63;24.92;-1620;-8190;735;20.46;2
12;-54.92;-277.63;24.95;-1620;-8190;736;20.26;2
13;-54.92;-277.63;24.98;-1620;-8190;737;20.39;2
14;-54.88;-277.63;24.88;-1619;-8190;734;20.46;2
15;-54.95;-277.63;24.88;-1621;-8190;734;20.33;2
16;-54.95;-277.63;25.05;-1621;-8190;739;20.26;2
17;-54.88;-277.63;24.88;-1619;-8190;734;20.39;2
18;-54.78;-277.63;24.85;-1616;-8190;733;20.33;2
19;-54.95;-277.63;24.95;-1621;-8190;736;20.46;2
20;-54.85;-277.63;24.88;-1618;-8190;734;20.13;2
21;-54.98;-277.63;24.88;-1622;-8190;734;20.39;2
22;-55.02;-277.63;24.92;-1623;-8190;735;20.33;2
23;-55.05;-277.63;24.95;-1624;-8190;736;20.53;2
24;-54.95;-277.63;24.92;-1621;-8190;735;20.33;2
25;-54.88;-277.63;24.95;-1619;-8190;736;20.39;2
26;-54.92;-277.63;24.85;-1620;-8190;733;20.46;2
27;-55.19;-277.63;24.88;-1628;-8190;734;20.26;2
28;-54.95;-277.63;24.88;-1621;-8190;734;20.33;2
29;-55.02;-277.63;24.85;-1623;-8190;733;20.13;2
30;-54.95;-277.63;24.92;-1621;-8190;735;20.39;2
31;-54.92;-277.63;24.85;-1620;-8190;733;20.20;2
32;-54.81;-277.63;24.88;-1617;-8190;734;20.39;2
33;-54.98;-277.63;24.88;-1622;-8190;734;20.46;2
34;-55.05;-277.63;24.88;-1624;-8190;734;20.13;2
35;-54.98;-277.63;24.88;-1622;-8190;734;20.39;2
36;-54.88;-277.63;24.85;-1619;-8190;733;20.46;2
37;-55.02;-277.63;24.95;-1623;-8190;736;20.72;2
38;-54.92;-277.63;24.85;-1620;-8190;733;20.46;2
39;-55.08;-277.63;24.98;-1625;-8190;737;20.39;2
40;-54.98;-277.63;24.88;-1622;-8190;734;20.46;2
41;-54.88;-277.63;24.95;-1619;-8190;736;20.33;2
42;-54.81;-277.63;24.88;-1617;-8190;734;20.39;2
43;-54.92;-277.63;24.75;-1620;-8190;730;20.46;2
44;-54.88;-277.63;24.98;-1619;-8190;737;20.39;2
45;-54.95;-277.63;25.02;-1621;-8190;738;20.46;2
46;-54.92;-277.63;24.78;-1620;-8190;731;20.53;2
47;-54.92;-277.63;24.88;-1620;-8190;734;20.46;2
48;-54.95;-277.63;24.95;-1621;-8190;736;20.59;2
49;-54.92;-277.63;24.95;-1620;-8190;736;20.59;2
50;-54.92;-277.63;24.92;-1620;-8190;735;20.33;2
51;-54.78;-277.63;24.85;-1616;-8190;733;20.07;2
52;-54.81;-277.63;24.95;-1617;-8190;736;20.26;2
53;-54.92;-277.63;24.88;-1620;-8190;734;20.59;2
54;-54.85;-277.63;24.88;-1618;-8190;734;20.33;2
55;-54.98;-277.63;24.92;-1622;-8190;735;20.59;2
56;-54.98;-277.63;24.85;-1622;-8190;733;20.20;2
57;-54.81;-277.63;24.88;-1617;-8190;734;20.59;2
58;-54.95;-277.63;25.02;-1621;-8190;738;20.33;2
59;-54.92;-277.63;24.92;-1620;-8190;735;20.53;2
60;-54.98;-277.63;24.85;-1622;-8190;733;20.33;2
61;-54.85;-277.63;24.88;-1618;-8190;734;20.39;2
62;-54.88;-277.63;24.92;-1619;-8190;735;20.33;2
63;-54.85;-277.63;24.92;-1618;-8190;735;20.39;2
64;-54.92;-277.63;24.92;-1620;-8190;735;20.13;2
65;-54.81;-277.63;24.92;-1617;-8190;735;20.53;2
66;-55.12;-277.63;24.92;-1626;-8190;735;20.59;2
67;-54.95;-277.63;24.95;-1621;-8190;736;20.53;2
68;-54.98;-277.63;24.95;-1622;-8190;736;20.53;2
69;-54.75;-277.63;24.88;-1615;-8190;734;20.59;2
70;-55.05;-277.63;24.88;-1624;-8190;734;20.39;2
71;-54.95;-277.63;24.95;-1621;-8190;736;20.59;2
72;-54.88;-277.63;24.85;-1619;-8190;733;20.72;2
73;-54.81;-277.63;24.81;-1617;-8190;732;20.13;2
74;-54.85;-277.63;24.88;-1618;-8190;734;20.39;2
75;-54.95;-277.63;24.88;-1621;-8190;734;20.33;2
76;-54.81;-277.63;24.95;-1617;-8190;736;20.46;2
77;-54.88;-277.63;24.85;-1619;-8190;733;20.39;2
78;-55.02;-277.63;24.95;-1623;-8190;736;20.33;2
79;-55.08;-277.63;24.92;-1625;-8190;735;20.39;2
80;-54.95;-277.63;24.85;-1621;-8190;733;20.39;2
81;-54.95;-277.63;24.92;-1621;-8190;735;20.39;2
82;-54.85;-277.63;24.81;-1618;-8190;732;20.20;2
83;-54.85;-277.63;25.05;-1618;-8190;739;20.39;2
84;-54.98;-277.63;24.95;-1622;-8190;736;20.33;2
85;-54.95;-277.63;24.95;-1621;-8190;736;20.26;2
86;-54.88;-277.63;24.95;-1619;-8190;736;20.20;2
87;-55.05;-277.63;24.88;-1624;-8190;734;20.46;2
88;-54.95;-277.63;24.92;-1621;-8190;735;20.26;2
