Date;30.10.2025
Time;17.11.09
Sensor name:;TLE493D-P3I8

Comment:;


Index;Bx[mT];By[mT];Bz[mT];Bx[LSB];By[LSB];Bz[LSB];Temperature[C];Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]
1;0.17;-2.14;-0.10;5;-63;-3;19.80;2
2;-0.03;-2.10;-0.07;-1;-62;-2;19.61;2
3;-0.03;-2.03;0.00;-1;-60;0;19.54;2
4;-0.07;-2.07;-0.14;-2;-61;-4;19.61;2
5;0.07;-2.10;0.00;2;-62;0;19.80;2
6;0.07;-2.20;-0.10;2;-65;-3;19.74;2
7;0.07;-2.00;-0.10;2;-59;-3;19.47;2
8;-0.10;-2.10;-0.17;-3;-62;-5;19.74;2
9;0.03;-2.03;-0.10;1;-60;-3;19.61;2
10;0.24;-2.24;-0.24;7;-66;-7;19.34;2
11;0.17;-2.07;-0.17;5;-61;-5;19.74;2
12;0.03;-2.20;-0.17;1;-65;-5;19.54;2
13;0.03;-2.10;-0.17;1;-62;-5;19.61;2
14;-0.03;-2.17;-0.14;-1;-64;-4;19.80;2
15;0.14;-2.14;-0.20;4;-63;-6;19.54;2
16;0.00;-2.14;-0.14;0;-63;-4;19.74;2
17;0.17;-1.97;-0.07;5;-58;-2;19.93;2
18;0.14;-2.10;-0.14;4;-62;-4;19.67;2
19;0.03;-2.20;-0.07;1;-65;-2;19.80;2
20;0.03;-2.20;-0.17;1;-65;-5;19.54;2
21;0.07;-2.14;-0.10;2;-63;-3;19.61;2
22;0.07;-2.03;-0.20;2;-60;-6;19.74;2
23;0.07;-2.10;-0.14;2;-62;-4;19.54;2
24;0.10;-2.07;-0.10;3;-61;-3;19.67;2
25;-0.07;-2.17;-0.10;-2;-64;-3;19.80;2
26;0.03;-2.00;-0.14;1;-59;-4;19.54;2
27;-0.03;-2.10;-0.17;-1;-62;-5;19.93;2
28;0.00;-2.10;-0.17;0;-62;-5;19.67;2
