,Magnet-sensor distance [cm],Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB],Temperature[C],"Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]"
0,0,-54.95,-277.63,24.95,-1621,-8190,736,20.26,2
1,0,-55.05,-277.63,24.95,-1624,-8190,736,20.33,2
2,0,-54.92,-277.63,24.92,-1620,-8190,735,20.39,2
3,0,-54.88,-277.63,24.88,-1619,-8190,734,20.39,2
4,0,-55.08,-277.63,24.92,-1625,-8190,735,20.13,2
5,0,-54.98,-277.63,24.88,-1622,-8190,734,20.39,2
6,0,-55.02,-277.63,24.81,-1623,-8190,732,20.13,2
7,0,-54.95,-277.63,24.88,-1621,-8190,734,20.33,2
8,0,-55.08,-277.63,24.88,-1625,-8190,734,20.39,2
9,0,-55.02,-277.63,24.85,-1623,-8190,733,20.39,2
10,0,-54.92,-277.63,25.02,-1620,-8190,738,20.33,2
11,0,-54.98,-277.63,24.85,-1622,-8190,733,20.53,2
12,0,-54.95,-277.63,24.88,-1621,-8190,734,20.26,2
13,0,-54.81,-277.63,24.95,-1617,-8190,736,20.39,2
14,0,-55.02,-277.63,24.85,-1623,-8190,733,20.53,2
15,0,-54.98,-277.63,24.98,-1622,-8190,737,20.46,2
16,0,-55.05,-277.63,24.85,-1624,-8190,733,20.39,2
17,0,-54.95,-277.63,24.92,-1621,-8190,735,20.39,2
18,0,-54.95,-277.63,24.85,-1621,-8190,733,20.66,2
19,0,-54.92,-277.63,24.88,-1620,-8190,734,20.33,2
20,0,-54.95,-277.63,24.88,-1621,-8190,734,20.39,2
21,0,-55.08,-277.63,24.92,-1625,-8190,735,20.59,2
22,0,-55.02,-277.63,24.85,-1623,-8190,733,20.13,2
23,0,-54.92,-277.63,24.95,-1620,-8190,736,20.26,2
24,0,-55.02,-277.63,24.92,-1623,-8190,735,20.46,2
25,0,-55.08,-277.63,24.85,-1625,-8190,733,20.33,2
26,0,-54.92,-277.63,24.88,-1620,-8190,734,20.46,2
27,0,-54.92,-277.63,24.88,-1620,-8190,734,20.59,2
28,0,-54.95,-277.63,24.78,-1621,-8190,731,20.33,2
29,0,-55.02,-277.63,24.85,-1623,-8190,733,20.33,2
30,0,-54.95,-277.63,24.95,-1621,-8190,736,20.53,2
31,0,-55.19,-277.63,24.85,-1628,-8190,733,20.59,2
32,0,-54.92,-277.63,24.88,-1620,-8190,734,20.53,2
33,0,-55.02,-277.63,24.85,-1623,-8190,733,20.59,2
34,0,-54.95,-277.63,24.81,-1621,-8190,732,20.33,2
35,0,-54.92,-277.63,24.92,-1620,-8190,735,20.39,2
36,0,-54.85,-277.63,24.85,-1618,-8190,733,20.53,2
37,0,-54.98,-277.63,24.92,-1622,-8190,735,20.33,2
38,0,-55.15,-277.63,24.88,-1627,-8190,734,20.33,2
39,0,-54.98,-277.63,24.98,-1622,-8190,737,20.33,2
40,0,-54.85,-277.63,24.92,-1618,-8190,735,20.46,2
41,0,-54.92,-277.63,24.95,-1620,-8190,736,20.39,2
42,0,-54.98,-277.63,24.88,-1622,-8190,734,20.33,2
43,0,-54.95,-277.63,24.92,-1621,-8190,735,20.33,2
44,0,-54.92,-277.63,24.85,-1620,-8190,733,20.39,2
45,0,-54.95,-277.63,24.98,-1621,-8190,737,20.53,2
46,0,-54.88,-277.63,25.02,-1619,-8190,738,20.33,2
47,0,-54.88,-277.63,24.88,-1619,-8190,734,20.46,2
48,0,-55.02,-277.63,24.81,-1623,-8190,732,20.53,2
49,0,-54.92,-277.63,24.81,-1620,-8190,732,20.33,2
50,0,-54.95,-277.63,24.88,-1621,-8190,734,20.26,2
51,0,-54.98,-277.63,24.88,-1622,-8190,734,20.53,2
52,0,-55.08,-277.63,24.88,-1625,-8190,734,20.59,2
53,0,-54.92,-277.63,24.88,-1620,-8190,734,20.33,2
54,0,-54.92,-277.63,24.88,-1620,-8190,734,20.53,2
55,0,-54.95,-277.63,24.88,-1621,-8190,734,20.53,2
56,0,-54.81,-277.63,24.95,-1617,-8190,736,20.33,2
57,0,-54.98,-277.63,24.85,-1622,-8190,733,20.66,2
58,0,-54.95,-277.63,24.78,-1621,-8190,731,20.26,2
59,0,-54.98,-277.63,24.92,-1622,-8190,735,20.13,2
60,0,-54.95,-277.63,24.88,-1621,-8190,734,20.33,2
61,0,-54.95,-277.63,24.85,-1621,-8190,733,20.39,2
62,0,-54.92,-277.63,24.88,-1620,-8190,734,20.39,2
63,0,-54.95,-277.63,24.81,-1621,-8190,732,20.33,2
64,0,-54.88,-277.63,24.98,-1619,-8190,737,20.46,2
65,0,-54.98,-277.63,24.95,-1622,-8190,736,20.39,2
66,0,-54.85,-277.63,24.88,-1618,-8190,734,20.53,2
67,0,-55.02,-277.63,24.88,-1623,-8190,734,20.39,2
68,0,-55.08,-277.63,24.98,-1625,-8190,737,20.53,2
69,0,-54.88,-277.63,24.95,-1619,-8190,736,20.39,2
70,0,-54.95,-277.63,24.81,-1621,-8190,732,20.33,2
71,0,-54.92,-277.63,24.88,-1620,-8190,734,20.46,2
72,0,-54.92,-277.63,24.88,-1620,-8190,734,20.2,2
73,0,-54.98,-277.63,24.95,-1622,-8190,736,20.86,2
74,0,-54.95,-277.63,24.98,-1621,-8190,737,20.59,2
75,0,-54.92,-277.63,24.95,-1620,-8190,736,20.33,2
76,0,-54.95,-277.63,24.88,-1621,-8190,734,20.72,2
77,0,-54.75,-277.63,24.95,-1615,-8190,736,20.46,2
78,0,-54.98,-277.63,24.92,-1622,-8190,735,20.26,2
79,0,-54.98,-277.63,24.98,-1622,-8190,737,20.46,2
80,0,-54.88,-277.63,24.85,-1619,-8190,733,20.66,2
81,0,-54.95,-277.63,24.88,-1621,-8190,734,20.46,2
82,0,-55.05,-277.63,24.88,-1624,-8190,734,20.39,2
83,0,-54.95,-277.63,24.88,-1621,-8190,734,20.26,2
84,0,-54.98,-277.63,24.92,-1622,-8190,735,20.46,2
85,0,-54.95,-277.63,24.85,-1621,-8190,733,20.46,2
86,0,-55.02,-277.63,24.81,-1623,-8190,732,20.59,2
87,0,-54.88,-277.63,24.81,-1619,-8190,732,20.39,2
88,0,-54.88,-277.63,24.88,-1619,-8190,734,20.53,2
89,0,-54.98,-277.63,24.88,-1622,-8190,734,20.26,2
90,0,-54.92,-277.63,24.85,-1620,-8190,733,20.39,2
91,0,-54.95,-277.63,24.95,-1621,-8190,736,20.46,2
92,0,-54.81,-277.63,24.85,-1617,-8190,733,20.26,2
93,0,-55.05,-277.63,24.92,-1624,-8190,735,20.59,2
94,0,-54.95,-277.63,24.92,-1621,-8190,735,20.46,2
95,0,-54.85,-277.63,24.98,-1618,-8190,737,20.46,2
96,0,-54.92,-277.63,24.88,-1620,-8190,734,20.39,2
97,0,-55.02,-277.63,24.88,-1623,-8190,734,20.26,2
98,0,-54.92,-277.63,24.95,-1620,-8190,736,20.33,2
99,0,-54.85,-277.63,24.92,-1618,-8190,735,20.53,2
100,0,-54.92,-277.63,24.92,-1620,-8190,735,20.13,2
101,0,-54.85,-277.63,24.85,-1618,-8190,733,20.33,2
102,0,-55.02,-277.63,24.95,-1623,-8190,736,20.33,2
103,0,-55.02,-277.63,24.92,-1623,-8190,735,20.59,2
104,0,-54.88,-277.63,24.85,-1619,-8190,733,20.46,2
105,0,-55.05,-277.63,24.85,-1624,-8190,733,20.33,2
106,0,-55.08,-277.63,24.95,-1625,-8190,736,20.33,2
107,0,-54.85,-277.63,24.88,-1618,-8190,734,20.53,2
108,0,-55.02,-277.63,24.88,-1623,-8190,734,20.39,2
109,0,-54.81,-277.63,24.95,-1617,-8190,736,20.33,2
110,0,-54.92,-277.63,24.92,-1620,-8190,735,20.39,2
111,0,-54.92,-277.63,24.88,-1620,-8190,734,20.46,2
112,0,-54.98,-277.63,24.88,-1622,-8190,734,20.33,2
113,0,-54.92,-277.63,24.95,-1620,-8190,736,20.46,2
114,0,-54.95,-277.63,24.88,-1621,-8190,734,20.39,2
115,0,-54.75,-277.63,24.88,-1615,-8190,734,20.39,2
116,0,-54.81,-277.63,24.98,-1617,-8190,737,20.59,2
117,0,-54.92,-277.63,24.81,-1620,-8190,732,20.53,2
118,0,-54.85,-277.63,24.95,-1618,-8190,736,20.13,2
119,0,-54.85,-277.63,24.98,-1618,-8190,737,20.59,2
120,0,-54.88,-277.63,24.88,-1619,-8190,734,20.59,2
121,0,-54.85,-277.63,24.88,-1618,-8190,734,20.39,2
